PhraseId,Sentiment
156061,3
156062,3
156063,2
156064,3
156065,3
156066,3
156067,3
156068,2
156069,3
156070,2
156071,2
156072,2
156073,2
156074,2
156075,2
156076,3
156077,2
156078,2
156079,2
156080,2
156081,2
156082,2
156083,2
156084,2
156085,2
156086,2
156087,2
156088,2
156089,2
156090,2
156091,2
156092,2
156093,2
156094,2
156095,2
156096,2
156097,2
156098,2
156099,2
156100,2
156101,2
156102,2
156103,2
156104,2
156105,2
156106,2
156107,2
156108,2
156109,2
156110,2
156111,2
156112,2
156113,2
156114,2
156115,2
156116,2
156117,2
156118,2
156119,2
156120,2
156121,2
156122,2
156123,2
156124,2
156125,2
156126,2
156127,2
156128,2
156129,2
156130,2
156131,2
156132,2
156133,2
156134,2
156135,2
156136,2
156137,2
156138,2
156139,2
156140,2
156141,2
156142,2
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,2
156151,2
156152,2
156153,2
156154,0
156155,2
156156,2
156157,2
156158,2
156159,2
156160,2
156161,2
156162,2
156163,2
156164,2
156165,2
156166,3
156167,2
156168,3
156169,2
156170,2
156171,3
156172,3
156173,2
156174,3
156175,3
156176,2
156177,2
156178,2
156179,2
156180,2
156181,2
156182,2
156183,2
156184,2
156185,2
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,2
156193,2
156194,2
156195,2
156196,2
156197,2
156198,2
156199,2
156200,2
156201,2
156202,2
156203,2
156204,2
156205,2
156206,3
156207,2
156208,2
156209,2
156210,2
156211,2
156212,2
156213,2
156214,2
156215,1
156216,2
156217,2
156218,2
156219,3
156220,2
156221,3
156222,3
156223,2
156224,2
156225,2
156226,2
156227,2
156228,2
156229,2
156230,2
156231,2
156232,2
156233,3
156234,2
156235,3
156236,3
156237,2
156238,3
156239,2
156240,3
156241,2
156242,2
156243,3
156244,3
156245,2
156246,2
156247,3
156248,3
156249,2
156250,2
156251,2
156252,2
156253,2
156254,2
156255,2
156256,2
156257,2
156258,2
156259,2
156260,2
156261,2
156262,2
156263,2
156264,2
156265,2
156266,2
156267,2
156268,2
156269,2
156270,2
156271,2
156272,3
156273,2
156274,3
156275,3
156276,3
156277,3
156278,2
156279,2
156280,2
156281,2
156282,2
156283,2
156284,2
156285,2
156286,3
156287,3
156288,2
